imdb_id,title,title_uk,year,imdb_rating,votes,country,region,language,theme,genres,basis,thriller_tag,decade,note,description,imdb_url
tt0108052,Schindler's List,Список Шиндлера,1993,9.0,1600974,США,США,англ.,Голокост,Biography; Drama; History; War,реальна історія,,1990-ті,Кілька епізодів драматизовано — зокрема сцену з душовою в Аушвіці та мотиви навернення Шиндлера.,"Судетський німець і член НСДАП Оскар Шиндлер (1908–1974) на емальовій фабриці в Кракові, а згодом у чеському Брненці врятував близько 1100 євреїв, підкуповуючи есесівців і вигадуючи для робітників фіктивні спеціальності. Стівен Спілберг знімав чорно-білою камерою в самому Кракові за романом Томаса Кеніллі; Рейф Файнз грає коменданта Плашува Амона Ґета, страченого 1946 року. Сім «Оскарів», зокрема за найкращий фільм і режисуру.",https://www.imdb.com/title/tt0108052/
tt0109830,Forrest Gump,Форрест Ґамп,1994,8.8,2530836,США,США,англ.,Політика та історія,Comedy; Drama; Romance,"реальне тло, вигадані герої",,1990-ті,"Історичні епізоди подані вибірково й спрощено, а кадри з політиками — цифрова містифікація.","Роберт Земекіс проводить вигаданого алабамця крізь тридцять років американської історії, вмонтовуючи його в справжню хроніку поруч із Кеннеді, Ніксоном і Ленноном. Форрест, Дженні й лейтенант Ден вигадані Вінстоном Ґрумом. Шість «Оскарів», зокрема за фільм, режисуру і роль Тома Генкса. Фільм став найкасовішим у прокаті США 1994 року.",https://www.imdb.com/title/tt0109830/
tt0099685,GoodFellas,Славні хлопці,1990,8.7,1410440,США,США,англ.,Кримінал,Biography; Crime; Drama,реальна історія,,1990-ті,"Прізвища більшості реальних мафіозі змінено: Джиммі Берк став Конвеєм, Пол Варіо — Полі Сісеро.","Генрі Гілл (1943–2012) майже тридцять років працював на бруклінську команду родини Луккезе, брав участь у пограбуванні Lufthansa в аеропорту Кеннеді 11 грудня 1978 року, а потім пішов у програму захисту свідків. Мартін Скорсезе екранізував репортажну книжку Ніколаса Піледжі «Wiseguy» і зробив із неї хроніку буденності гангстера: гроші, кокаїн, зради, страх. Джо Пеші отримав «Оскар» за роль Томмі.",https://www.imdb.com/title/tt0099685/
tt15964372,Aparajito,Апараджіто,2022,8.7,5629,Індія,Індія,бенгальська,Музика та мистецтво,Biography; Drama; Family; History,реальна історія,,2020-ті,,"Кінець 1940-х: рекламний художник із Калькутти, закоханий у неореалізм, вирішує екранізувати роман Бібгутібгушана Бондопаддгая — без грошей, без акторів і без жодного знятого кадру за плечима. Анік Датта відтворює п'ять років, за які постала «Пісня дороги», з паузами в зйомках і порятунком коштом уряду Західної Бенгалії. Знято чорно-білим, із педантичною реконструкцією майданчиків Рея; Джіту Камаль вражаюче на нього схожий. Формально це не байопік: імена змінено, режисера звати Апараджіто Рей.",https://www.imdb.com/title/tt15964372/
tt23849204,12th Fail,Провал у 12-му класі,2023,8.7,176110,Індія,Індія,гінді,Соціальна драма,Biography; Drama,реальна історія,,2020-ті,,"Манодж Кумар Шарма із села в Чамбальській долині провалив дванадцятий клас, бо на іспиті вперше не дали списувати, — а через кілька років і кілька невдалих спроб склав іспит UPSC і став офіцером поліції. Відгу Вінод Чопра знімав переважно на реальних локаціях у делійському Мукерджі-Нагарі, кварталі підготовчих курсів, із непрофесійними виконавцями в епізодах. Вікрант Массі грає без пафосу; в основі — документальна книжка Анурага Патхака.",https://www.imdb.com/title/tt23849204/
tt0116860,Lepa sela lepo gore,Гарні села гарно горять,1996,8.6,19174,Югославія (Сербія),Європа,серб.,Війна,Drama; History; War,натхненний реальними подіями,,1990-ті,"Каркасом став реальний епізод у тунелі; персонажі, їхні біографії та дружба — вигадані.","1992 року група сербських бійців кілька днів просиділа замкненою в дорожньому тунелі у східній Боснії в оточенні боснійських сил — про цей випадок написав журналіст Ваня Булич, і з його репортажу виріс фільм. Срджан Драгоєвич додав до нього передвоєнну дружбу серба й мусульманина, які тепер опинилися по різні боки. Чорний гумор і рвана хронологія зробили стрічку найвідомішим антивоєнним фільмом регіону. Драган Бєлоґрлич і Нікола Койо в головних ролях.",https://www.imdb.com/title/tt0116860/
tt0118799,Life Is Beautiful,Життя прекрасне,1997,8.6,821631,Італія,Європа,італ.,Голокост,Comedy; Drama; Romance,"реальне тло, вигадані герої",,1990-ті,Табір і його порядки стилізовані; частина критиків і вцілілих закидала фільму надмірну умовність.,"Роберто Беніньї грає книгаря Ґвідо, який у таборі переконує сина, що все довкола — лише гра з призом у вигляді танка. Родина Орефіче вигадана, а сам табір навмисно умовний, без прив'язки до конкретного місця. Три «Оскари», зокрема за найкращу чоловічу роль і найкращий іншомовний фільм.",https://www.imdb.com/title/tt0118799/
tt0120815,Saving Private Ryan,Врятувати рядового Раяна,1998,8.6,1659568,США,США,англ.,Війна,Drama; History; War,"реальне тло, вигадані герої",,1990-ті,"Поштовхом стала історія братів Ніланд, але фабула й персонажі вигадані.","Двадцятихвилинний штурм сектора «Омаха» на початку фільму вважають найточнішою реконструкцією Дня Д у кіно. Загін капітана Міллера, який шукає рядового Раяна, повністю вигаданий, хоча правило про останнього сина в родині справді існувало. Спілберг отримав «Оскар» за режисуру, Януш Камінський — за операторську роботу. Ця відкривальна сцена на роки задала стандарт зображення бою в кіно.",https://www.imdb.com/title/tt0120815/
tt0317248,City of God,Місто Бога,2002,8.6,879671,Бразилія,Латинська Америка,португ.,Кримінал,Crime; Drama,реальна історія,,2000-ті,,"Паулу Лінс виріс у ріо-де-жанейрському районі Сідаді-ді-Деус і зібрав історії реальних сусідів у роман, який Фернанду Мейреллеш і Катія Лунд перенесли на екран. Три десятиліття, від 1960-х до 1980-х, показано очима Ракети, підлітка з фотоапаратом, поки поруч росте банда Малюка Зе. Більшість ролей зіграли непрофесійні актори з фавел, відібрані через театральну майстерню. Чотири номінації на «Оскар», зокрема за режисуру, сценарій і монтаж.",https://www.imdb.com/title/tt0317248/
tt10189514,Soorarai Pottru,Сураарай Потру,2020,8.6,132651,Індія,Індія,тамільська,Автобіографія,Action; Drama,реальна історія,,2020-ті,,"За мемуарами «Simply Fly» відставного капітана Ґ. Р. Ґопінатха, який 2003 року запустив Air Deccan і вперше зробив квиток на літак дешевшим за поїзд. Судга Конґара переносить героя на ім'я Маара (Суря) у тамільське село, додає дружину-пекарку й перетворює бізнес-історію на боротьбу з монополістом, чиновниками та кастовою зверхністю. Національні кінопремії Індії за найкращий фільм, найкращу чоловічу і найкращу жіночу ролі.",https://www.imdb.com/title/tt10189514/
